Temp,Resistance
17.8,133.5
20.6,116
29.4,76
35,60.3
40,48.7
45,39.9
50,32.77
55,27.01
60,22.47
65,18.8
70,15.81
75,13.26
80,11.27
85,9.6
90,8.07
95,6.98
100,5.99
102.7,5.4
104.7,5.04
